2,4,6,8,10,12,14,16,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,68,70,72,76,78,80,92,94,112,114,116,122,130,134,136,138,154,156,158,176,182,184,186,188,190,192,194,196
100,0,0,0,0,0,0,52,100,0,0,0,0,0,0,49,0,0,0,0,0,100,0,0,0,0,0,0,0,45,100,0,46,63,0,57,0,43,0,59,100,53,0,49,100,18,46,77,51,44,49,50
29,0,0,0,0,0,0,0,20,54,0,0,0,0,0,0,100,0,41,0,0,16,0,44,47,0,0,52,0,0,18,53,53,100,0,0,45,47,0,47,25,19,58,49,76,54,35,56,53,48,46,47
0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,48,0,0,0,0,0,100,0,100,0,0,51,0,0,0,100,46,46,51,0,45,53,49,0,0,100,56,52,28,100,20,50,75,45,52,47
0,21,0,0,0,0,0,0,0,27,47,0,0,0,0,0,0,100,0,57,0,0,28,0,24,52,0,0,54,0,0,28,0,58,100,54,48,56,52,0,52,27,33,0,51,75,50,18,47,49,41,45
0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,54,0,0,0,0,0,100,0,100,0,0,50,0,0,0,0,59,58,100,0,0,55,53,0,0,100,52,45,24,100,30,45,85,43,56
0,0,28,0,0,0,0,0,0,0,29,41,0,0,0,0,0,0,100,0,47,0,0,26,49,28,47,0,0,40,46,0,62,0,64,21,52,52,47,47,22,36,28,55,50,47,77,50,30,49,41,47
0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,51,0,0,0,0,0,0,0,100,0,0,40,0,0,46,0,46,0,100,46,0,38,0,0,0,50,51,56,31,100,31,44,72,52
0,0,0,32,0,0,0,0,0,0,0,26,47,0,0,0,0,0,0,100,0,53,0,0,0,47,31,0,0,0,55,52,0,56,0,0,75,55,41,51,47,22,44,59,42,47,59,71,50,24,53,54
0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,58,0,0,0,0,100,0,0,0,0,0,0,0,0,57,0,52,49,0,42,0,45,0,0,53,44,55,52,26,100,27,54,69
0,0,0,0,19,0,0,0,0,0,0,0,21,41,0,0,0,0,0,0,100,0,47,0,22,0,53,50,0,0,0,49,0,0,53,100,0,54,46,51,54,50,26,12,0,50,57,57,75,55,28,57
0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,51,0,0,0,0,100,0,100,0,0,57,0,0,0,54,51,0,100,0,47,0,46,0,0,51,52,55,51,29,100,25,37
0,0,0,0,0,21,0,0,0,0,0,0,0,31,55,0,0,0,0,0,0,100,0,55,0,21,0,24,59,0,0,0,0,0,0,48,38,80,61,50,45,53,46,44,46,0,42,51,54,75,49,27
0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,50,0,0,0,0,100,0,100,0,39,60,52,0,0,47,100,52,100,0,54,0,47,52,54,52,55,48,56,25,100,27
0,0,0,0,0,0,27,0,0,0,0,0,0,0,25,52,0,0,0,0,0,0,100,0,0,0,32,38,28,52,0,0,48,0,0,0,18,0,78,51,0,52,58,5,52,56,0,52,46,48,80,52
0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,44,0,0,0,0,0,0,100,0,47,100,43,0,0,0,0,52,100,55,48,0,100,59,39,46,58,48,37,23,100
0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,19,52,0,0,0,0,0,0,100,52,0,0,0,49,17,0,0,23,43,0,43,0,53,0,73,54,0,56,59,9,48,45,0,48,54,49,68
