34,36,38,40,42,60,62,64,82,84,86,88,90,118,120,122,124,126,146,148,152,154,162,164
0,0,0,0,0,100,0,0,0,0,0,0,32,0,0,19,53,0,42,42,54,60,47,55
0,0,0,0,0,21,0,0,0,0,0,0,0,18,0,59,83,41,53,0,38,27,31,46
0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,32,60,40,47,0,59,52,59
0,0,0,0,0,0,27,0,0,0,0,0,0,0,35,0,42,82,47,51,79,59,57,25
0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,25,50,52,40,0,44,51
0,0,0,0,0,58,0,25,0,0,0,0,0,0,0,27,0,51,0,58,0,73,51,52
100,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,100,0,58,52,54,49,50,52
29,0,0,0,0,0,54,0,100,0,47,0,0,0,54,0,0,45,0,0,100,0,52,23
0,100,0,0,0,0,0,0,22,0,0,0,0,0,49,0,0,100,72,52,45,50,52,51
0,28,0,0,0,0,0,43,0,100,0,43,0,0,0,48,0,0,52,0,30,100,44,49
0,0,100,0,0,60,0,0,0,28,0,0,0,57,0,53,0,0,47,75,53,56,54,46
0,0,28,0,0,0,0,0,0,0,100,0,37,100,0,0,53,0,19,51,0,19,19,53
0,0,0,100,0,0,50,0,0,0,28,0,0,22,55,0,53,0,100,50,48,49,100,47
44,0,0,24,0,0,0,0,0,0,0,100,0,45,100,0,0,41,45,13,0,0,49,13
0,0,0,0,100,0,0,50,0,0,0,20,0,0,18,48,0,56,11,100,70,56,59,100
0,44,0,0,25,0,0,0,0,0,0,0,100,0,56,100,0,0,62,46,44,0,0,53
