44,46,48,50,52,54,56,58,76,78,80,102,104,106,112,134,136,138,140,142,144,146,148,150,152,154
100,0,0,0,0,0,0,49,100,0,49,0,0,24,42,0,53,69,51,57,53,48,43,93,55,50
24,0,0,0,0,0,0,0,74,53,0,26,0,52,100,76,53,31,100,51,50,39,51,48,30,42
0,100,0,0,0,0,0,0,19,100,0,0,0,0,0,29,0,51,61,50,51,57,44,51,85,47
0,25,0,0,0,0,0,0,0,81,54,0,27,0,42,0,78,51,30,100,52,50,30,51,46,27
0,0,100,0,0,0,0,0,0,27,100,0,0,0,64,44,33,0,45,63,49,44,50,55,58,90
52,0,24,0,0,0,0,0,0,0,70,0,0,24,68,46,0,71,45,29,100,55,45,33,46,52
0,0,0,100,0,0,0,0,0,0,26,50,0,0,23,57,53,42,0,50,68,47,50,53,60,61
0,44,0,18,0,0,0,0,0,0,0,51,0,0,46,53,53,0,77,49,33,100,45,46,31,50
0,0,0,0,100,0,0,0,0,0,0,0,48,0,0,46,48,51,40,0,52,62,54,49,47,37
0,0,47,0,23,0,0,0,0,0,0,0,48,0,0,0,47,65,0,77,59,29,100,54,42,33
47,0,0,0,0,100,0,0,0,0,0,0,0,61,0,47,46,54,51,38,0,51,63,48,46,47
0,0,0,39,0,27,0,0,0,0,0,100,0,57,33,100,0,48,45,0,85,44,30,100,51,46
0,50,0,0,0,0,100,0,0,0,0,43,0,0,0,48,52,47,51,47,40,0,51,67,45,49
0,0,0,0,52,0,17,0,0,0,0,52,100,0,0,53,100,0,44,50,0,79,54,24,100,55
0,0,47,0,0,0,0,100,0,0,0,0,57,0,0,9,49,48,45,51,50,36,0,48,63,48
0,0,0,0,0,44,0,31,0,0,0,0,54,100,0,19,57,100,0,52,47,0,76,51,31,100
