44,46,48,52,54,56,58,60,66,68,70,72,74,78,80,82,86,90,94,96,98,100,102,104,106,108,114,116
0,0,50,0,100,0,0,0,0,0,100,0,27,0,48,100,100,91,50,53,50,43,100,49,31,50,52,57
100,0,0,0,0,0,52,0,0,0,0,0,0,0,100,34,44,52,0,0,100,0,52,14,10,75,26,44
30,0,0,100,0,100,0,0,49,0,0,100,0,56,0,46,5,4,29,46,41,47,36,100,58,35,48,57
0,100,0,26,0,0,0,49,0,0,0,0,0,100,0,100,49,14,100,0,0,100,0,57,14,11,47,29
0,20,0,52,100,0,100,0,0,57,0,0,100,16,41,0,100,100,84,22,55,51,43,39,100,50,13,56
0,0,100,0,24,0,0,0,0,0,0,0,0,0,100,0,34,47,49,100,0,0,100,0,51,15,25,41
0,0,22,0,49,100,0,100,0,0,57,0,0,0,22,42,49,9,5,84,35,57,50,45,37,100,50,13
0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,100,100,42,17,52,100,0,0,100,0,48,80,25
0,0,0,0,0,47,100,0,0,0,0,50,0,100,0,25,0,100,100,10,88,29,42,49,46,39,40,52
0,0,0,100,0,0,25,0,50,0,0,0,0,0,0,0,0,35,57,19,59,100,0,0,100,0,12,69
0,0,0,29,0,0,46,100,0,0,0,0,58,0,100,0,43,50,6,100,6,89,22,51,61,45,53,32
0,0,0,0,100,0,0,28,0,46,0,0,0,0,0,0,100,100,45,50,14,40,100,0,0,100,14,10
0,0,0,0,23,0,0,52,100,0,0,0,0,0,0,100,25,0,100,4,100,5,85,27,53,41,100,41
0,0,0,0,0,100,0,0,0,0,48,0,0,0,0,0,0,0,21,46,48,8,54,100,0,0,45,8
0,0,0,0,0,17,0,0,0,100,0,0,0,44,0,0,0,50,48,100,8,100,6,84,21,45,37,100
0,0,0,0,0,0,100,0,0,0,0,48,0,0,0,0,0,100,100,33,53,51,13,47,100,0,0,46
