44,46,48,50,52,54,56,58,76,78,80,84,86,88,90,92,94,96,98,102,104,106,112,120,122,126,128,130,134,136,138,140,142,144,146,148,150,152,154
100,0,0,0,0,0,0,55,100,0,58,0,100,0,54,0,0,48,0,0,0,24,50,5,48,57,48,59,0,59,60,49,56,57,39,41,90,49,41
23,0,0,0,0,0,0,0,76,54,0,0,0,0,48,100,0,59,0,29,0,40,100,14,48,0,57,38,80,47,39,100,41,46,37,57,44,33,48
0,100,0,0,0,0,0,0,22,100,0,100,0,100,0,51,0,0,54,0,0,0,0,100,6,50,51,51,39,0,50,62,53,49,46,51,51,90,57
0,23,0,0,0,0,0,0,0,77,58,19,0,0,0,57,100,0,46,0,20,0,44,54,13,100,0,48,0,75,49,32,100,52,39,28,55,46,22
0,0,100,0,0,0,0,0,0,24,100,45,100,0,100,0,50,0,0,0,0,0,51,56,100,45,49,50,51,43,0,60,65,54,53,46,50,49,93
50,0,25,0,0,0,0,0,0,0,76,0,22,0,0,0,45,100,0,0,0,22,73,53,48,51,100,0,47,0,82,53,38,100,47,47,28,51,48
0,0,0,100,0,0,0,0,0,0,28,0,41,100,0,100,0,47,0,53,0,0,27,100,48,3,51,55,54,52,38,0,56,63,44,50,45,58,51
0,50,0,27,0,0,0,0,0,0,0,54,0,21,0,0,0,54,100,48,0,0,53,26,53,8,50,100,53,48,0,75,52,25,100,46,46,23,59
0,0,0,0,100,0,0,0,0,0,0,100,0,55,100,0,100,0,46,0,39,0,0,44,100,100,7,42,47,45,50,40,0,53,67,53,56,48,48
0,0,48,0,22,0,0,0,0,0,0,75,47,0,26,0,0,0,50,0,56,0,0,100,17,54,18,48,0,50,59,0,73,51,36,100,53,58,34
54,0,0,0,0,100,0,0,0,0,0,26,100,0,57,100,0,100,0,0,0,47,0,0,46,53,100,6,50,39,51,57,36,0,49,74,41,44,49
0,0,0,56,0,30,0,0,0,0,0,0,79,46,0,19,0,0,0,100,0,60,19,57,100,54,53,14,100,0,46,46,0,83,51,43,100,57,63
0,54,0,0,0,0,100,0,0,0,0,0,28,100,0,48,100,0,100,51,0,0,0,39,0,100,56,100,51,52,50,58,44,34,0,48,61,51,47
0,0,0,0,47,0,26,0,0,0,0,0,0,75,48,0,33,0,0,62,100,0,0,72,47,34,51,62,49,100,0,54,60,0,79,45,33,100,47
0,0,59,0,0,0,0,100,0,0,0,0,0,22,100,0,41,100,0,0,63,0,0,16,47,52,100,49,5,53,60,49,48,46,32,0,48,58,54
0,0,0,0,0,55,0,23,0,0,0,0,0,0,69,44,0,27,0,0,43,100,0,50,73,100,24,49,11,52,100,0,39,50,0,76,48,29,100
