34,36,38,40,42,60,62,64,82,84,86,88,90,94,96,98,100,102,104,106,108,110,112,114,118,120,122,124,126,128,130,134,138,142,144,146,148,152,154,156,158,160,162,164
0,0,0,0,0,100,0,0,0,0,0,0,30,0,48,100,0,100,0,50,0,0,47,0,0,0,19,56,0,51,100,100,52,55,47,42,34,41,68,48,48,44,49,54
0,0,0,0,0,25,0,0,0,0,0,0,0,49,0,26,0,0,0,47,100,0,58,0,32,0,53,80,55,100,30,49,50,0,46,49,0,54,33,100,51,46,39,52
0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,43,100,0,100,0,40,0,0,45,0,0,0,28,48,0,52,45,12,45,50,57,49,0,53,72,43,55,42,52
0,0,0,0,0,0,22,0,0,0,0,0,0,69,49,0,23,0,0,0,46,100,0,52,0,23,0,50,76,49,100,50,8,100,0,53,55,76,36,37,100,50,57,29
0,0,0,0,0,0,0,100,0,0,0,0,0,21,100,0,51,100,0,100,0,50,0,0,0,0,0,0,25,47,0,100,100,58,55,49,50,45,0,51,71,44,52,41
0,0,0,0,0,44,0,24,0,0,0,0,0,0,77,41,0,23,0,0,0,57,100,0,0,0,23,0,51,77,52,29,53,49,100,0,59,0,84,44,31,100,41,51
100,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,46,100,46,100,0,23,56,45,0,0,100,0,73,55,53,8,53,63,51,53,45,54,100,49,42,50,50
22,0,0,0,0,0,49,0,100,0,47,0,0,0,51,100,0,0,30,0,63,0,49,100,0,42,0,0,49,60,100,100,51,14,43,0,0,100,0,42,14,45,44,31
0,100,0,0,0,0,0,0,31,0,0,0,0,100,0,15,0,0,54,100,47,100,0,28,0,44,0,0,100,0,78,42,100,100,54,72,43,41,46,56,100,58,35,55
0,21,0,0,0,0,0,56,0,100,0,50,0,29,0,42,100,0,0,17,0,53,0,45,0,0,45,0,0,44,53,0,29,48,10,46,0,18,100,0,51,10,54,45
0,0,100,0,0,51,0,0,0,30,0,0,0,0,100,0,23,0,0,60,100,47,100,0,59,0,52,0,0,100,0,44,45,8,100,49,67,52,59,49,53,100,42,49
0,0,22,0,0,0,0,0,0,0,100,0,48,0,25,0,64,100,0,0,26,0,50,0,100,0,0,56,0,0,52,100,100,45,54,17,50,0,27,100,0,56,17,46
0,0,0,100,0,0,58,0,0,0,17,0,0,0,0,100,0,28,0,0,45,100,50,100,28,50,0,45,0,0,100,85,59,100,4,100,52,53,49,49,51,45,100,50
62,0,0,22,0,0,0,0,0,0,0,100,0,0,0,30,0,48,100,0,0,26,0,55,52,100,0,0,37,0,0,53,0,18,43,51,10,0,0,26,100,0,52,10
0,0,0,0,100,0,0,55,0,0,0,24,0,0,0,0,100,0,20,0,0,53,100,50,0,24,49,0,51,0,0,0,47,41,100,4,100,74,47,48,59,55,48,100
0,49,0,0,19,0,0,0,0,0,0,0,100,45,0,0,25,0,55,100,0,0,21,0,0,53,100,0,0,44,0,47,100,100,30,51,52,56,0,0,18,100,0,50
