36,38,40,42,44,50,52,54,56,58,60,62,64,66,70,74,78,80,82,84,86,88,92,98,100
0,100,0,0,0,0,0,100,0,0,0,0,52,100,100,6,20,53,57,25,100,27,74,40,70
0,0,0,0,0,0,0,0,0,0,0,0,100,28,44,14,0,0,100,0,57,12,27,36,54
100,0,100,0,0,51,0,0,100,0,0,0,0,55,7,8,34,23,56,45,18,100,23,54,56
26,0,0,0,0,0,0,0,0,0,0,0,0,100,49,12,100,0,0,100,0,56,10,38,35
44,100,0,100,0,0,54,0,0,100,0,0,0,0,100,100,15,35,26,53,42,25,26,15,56
0,27,0,0,0,0,0,0,0,0,0,0,0,0,27,55,15,100,0,0,100,0,6,24,41
0,57,100,0,100,0,0,47,0,0,100,0,0,0,51,8,8,12,31,24,48,54,100,73,12
0,0,32,0,0,0,0,0,0,0,0,0,0,100,100,48,16,51,100,0,0,100,54,79,23
0,0,55,100,0,0,0,0,44,0,0,100,0,17,0,100,100,9,90,29,52,53,31,35,60
100,0,0,20,0,42,0,0,0,0,0,0,0,0,0,31,56,11,54,100,0,0,0,10,78
26,0,0,53,100,0,0,0,0,50,0,0,100,0,45,38,7,100,10,88,27,55,46,45,36
0,100,0,0,23,0,42,0,0,0,0,0,0,0,100,100,56,49,9,48,100,0,100,9,10
0,25,0,0,51,100,0,0,0,0,49,0,0,100,23,0,100,4,100,9,89,31,49,100,47
0,0,100,0,0,0,0,52,0,0,0,0,0,0,0,0,30,47,47,15,45,100,0,52,15
0,0,20,0,0,0,100,0,0,0,0,41,0,0,0,62,53,100,7,100,6,88,53,35,100
0,0,0,100,0,0,0,0,49,0,0,0,0,0,0,100,100,27,50,44,16,54,0,0,41
