34,36,38,40,42,60,62,64,92,94,130,132,134,136,138
0,0,0,0,0,0,0,42,51,0,49,49,91,40,50
0,0,0,0,0,100,0,0,100,0,26,52,43,33,53
0,0,0,0,0,20,0,0,29,39,50,47,45,93,35
0,0,0,0,0,0,100,0,0,100,53,34,51,45,36
0,0,0,0,0,0,23,0,0,22,13,54,49,44,89
0,0,0,0,0,0,0,100,0,0,25,44,34,49,51
100,0,0,0,0,0,0,26,0,0,50,48,42,51,49
30,0,0,0,0,0,0,0,24,0,100,55,58,26,61
0,100,0,0,0,0,0,0,0,0,64,50,50,44,50
0,23,0,0,0,0,0,0,0,29,37,100,59,45,31
0,0,100,0,0,0,0,0,0,0,51,63,54,54,50
49,0,29,0,0,0,0,0,0,0,43,31,100,48,46
0,0,0,100,0,0,0,0,55,0,0,49,64,51,43
0,45,0,33,0,0,0,0,48,0,72,49,29,100,46
0,0,0,0,100,0,0,0,0,53,39,0,52,63,55
0,0,50,0,32,0,0,0,0,57,0,70,55,33,100
