2,4,6,8,10,12,14,16,34,36,38,40,42,44,46,48,50,52,54,56,58,76,78,80,92,94,112,114,116,134,136,138,154,156,158,176,182,184,186,188,190,192,194,196
100,0,0,0,0,0,0,51,100,0,0,0,0,0,0,36,0,0,0,0,0,0,0,57,100,0,48,54,0,46,0,52,100,52,0,51,100,28,49,68,52,47,56,48
34,0,0,0,0,0,0,0,22,46,0,0,0,0,0,0,100,0,60,0,0,48,0,0,23,53,52,100,0,61,0,48,27,34,45,50,75,51,31,46,42,55,53,52
0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,44,0,0,0,0,47,0,0,0,100,51,43,47,46,51,0,0,100,49,41,35,100,23,58,73,63,53,50
0,30,0,0,0,0,0,0,0,22,56,0,0,0,0,0,0,100,0,51,0,0,54,0,0,26,0,40,100,46,53,0,52,23,35,0,43,68,44,29,47,44,48,51
0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,54,0,0,0,0,50,0,0,0,0,52,40,0,55,51,0,0,100,53,45,22,100,21,49,78,52,46
0,0,21,0,0,0,0,0,0,0,24,57,0,0,0,0,0,0,100,0,47,0,0,58,41,0,64,0,51,58,50,47,30,49,21,54,54,53,79,41,33,54,41,44
0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,46,0,0,0,0,45,0,0,44,0,49,46,0,56,0,0,0,52,52,47,23,100,30,48,74,58
0,0,0,22,0,0,0,0,0,0,0,22,54,0,0,0,0,0,0,100,0,0,0,0,49,56,0,46,0,46,55,50,42,28,60,54,42,48,49,69,50,33,52,59
0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,42,0,0,0,0,0,0,0,51,0,0,47,0,56,0,0,57,52,51,44,24,100,27,51,73
0,0,0,0,25,0,0,0,0,0,0,0,26,49,0,0,0,0,0,0,100,43,0,0,0,55,0,0,55,58,55,44,52,49,28,17,0,62,37,41,76,57,33,49
0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,51,100,0,0,48,0,0,0,50,100,0,59,0,59,0,0,49,37,52,44,23,100,34,58
0,0,0,0,0,24,0,0,0,0,0,0,0,26,47,0,0,0,0,0,0,26,44,0,0,0,0,0,0,79,46,46,50,53,54,47,45,0,51,51,53,77,50,30
0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,55,54,48,0,0,50,100,0,55,0,51,52,59,49,50,40,49,23,100,29
0,0,0,0,0,0,28,0,0,0,0,0,0,0,24,51,0,0,0,0,0,45,21,48,0,0,40,0,0,0,67,47,0,53,42,9,49,44,0,55,40,48,82,45
0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,53,100,54,0,0,42,100,54,52,0,100,48,47,48,44,53,50,23,100
0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,29,44,0,0,0,0,0,48,22,0,0,31,44,0,61,0,76,47,0,47,56,4,41,52,0,50,43,50,74
