36,42,44,54,56,58,60,64,74,78,80,84,90,92,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,38,40,44,50,52,62,64,66,70,82,86,88,92,98,100,,,,,,,,,,,,,,,,,,,,,,,,,
44,46,48,52,58,60,70,72,74,78,90,94,96,100,106,108,,,,,,,,,,,,,,,,,,,,,,,,,
52,54,56,60,66,68,78,80,82,86,98,102,104,108,114,116,,,,,,,,,,,,,,,,,,,,,,,,,
34,60,62,64,68,74,76,82,86,88,90,92,94,106,110,112,116,120,122,130,,,,,,,,,,,,,,,,,,,,,
36,38,40,42,68,70,72,76,82,86,88,90,104,114,118,120,122,132,134,136,138,,,,,,,,,,,,,,,,,,,,
44,46,48,50,76,78,80,84,90,94,96,98,112,122,126,128,130,140,142,144,146,,,,,,,,,,,,,,,,,,,,
52,54,56,58,84,86,88,92,98,102,104,106,120,130,134,136,138,148,150,152,154,,,,,,,,,,,,,,,,,,,,
34,60,62,64,82,94,96,100,106,110,112,114,124,128,138,142,144,152,158,160,,,,,,,,,,,,,,,,,,,,,
36,38,40,42,84,86,88,90,94,96,98,102,104,108,114,118,120,122,126,128,130,134,146,148,154,156,162,164,,,,,,,,,,,,,
34,36,38,40,44,46,48,50,66,68,70,72,82,84,86,98,100,106,110,112,116,120,128,130,132,136,138,142,144,148,152,156,158,160,164,170,172,,,,
0,42,44,46,48,52,54,56,58,74,76,78,80,88,90,92,94,106,108,114,118,120,124,126,128,136,138,140,144,146,150,152,156,158,160,164,166,168,172,178,180
2,4,6,8,34,36,38,40,50,52,54,56,60,62,64,68,70,72,92,94,104,114,116,122,126,128,130,154,156,158,168,182,184,186,188,,,,,,
10,12,14,16,42,44,46,48,58,60,62,64,68,70,72,76,78,80,100,102,112,122,124,130,134,136,138,162,164,166,176,190,192,194,196,,,,,,
18,20,22,24,50,52,54,56,66,68,70,72,76,78,80,84,86,88,108,110,120,130,132,138,142,144,146,170,172,174,184,198,200,202,204,,,,,,
26,28,30,32,58,60,62,64,74,76,78,80,84,86,88,92,94,96,116,118,128,138,140,146,150,152,154,178,180,182,192,206,208,210,212,,,,,,
